
2024/11/24 (13:44:55) | ===> btop++ v.1.4.0
2024/11/24 (13:44:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/24 (13:44:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (13:44:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/24 (13:44:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/24 (13:45:31) | ===> btop++ v.1.4.0
2024/11/24 (13:45:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/24 (13:45:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (13:45:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/24 (13:45:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/24 (14:03:09) | ===> btop++ v.1.4.0
2024/11/24 (14:03:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/24 (14:03:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (14:03:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/24 (14:03:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/24 (20:11:04) | ===> btop++ v.1.4.0
2024/11/24 (20:11:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/24 (20:11:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (20:11:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/24 (20:11:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (05:16:04) | ===> btop++ v.1.4.0
2024/11/27 (05:16:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (05:16:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (05:16:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (05:16:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (05:49:44) | ===> btop++ v.1.4.0
2024/11/27 (05:49:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (05:49:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (05:49:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (05:49:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (19:44:38) | ===> btop++ v.1.4.0
2024/11/27 (19:44:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (19:44:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (19:44:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (19:44:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (19:45:30) | ===> btop++ v.1.4.0
2024/11/27 (19:45:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (19:45:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (19:45:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (19:45:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/27 (19:45:49) | ===> btop++ v.1.4.0
2024/11/27 (19:45:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/27 (19:45:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/27 (19:45:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/27 (19:45:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (06:31:09) | ===> btop++ v.1.4.0
2024/11/28 (06:31:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (06:31:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (06:31:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (06:31:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/29 (20:34:48) | ===> btop++ v.1.4.0
2024/11/29 (20:34:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/29 (20:34:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/29 (20:34:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/29 (20:34:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/29 (22:35:33) | ===> btop++ v.1.4.0
2024/11/29 (22:35:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/29 (22:35:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/29 (22:35:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/29 (22:35:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/30 (21:07:22) | ===> btop++ v.1.4.0
2024/11/30 (21:07:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
